boundary_scope,primary_biome,metric,measure_type,t0,t1,diagnostic_interval,cells,supported_cells,undefined_cells,nonzero_cells,value_sum,value_mean,value_median,value_q90,contribution_to_combined_domain_sum
primary_assignment,Cerrado,nat_tmp_intensity_initial_native,relative_intensity,1990,1995,0,10676,10672,4,5059,99.669756388784151,0.0093393699764602843,0,0.020782805649861274,
primary_assignment,Cerrado,nat_tmp_pas_any_ha,trajectory_area,1990,1995,0,10676,10676,0,4157,96119.78750055503,9.0033521450501155,0,17.785485842078923,0.92985446448291742
primary_assignment,Cerrado,nat_tmp_pas_any_share_endpoint,trajectory_share,1990,1995,0,10676,5059,5617,4157,1410.2756203556469,0.27876568894161829,0.11515244436057305,0.94260082035679871,
primary_assignment,Cerrado,nat_tmp_pas_consecutive2_ha,trajectory_area,1990,1995,0,10676,10676,0,4022,91736.507041955279,8.5927788536863314,0,16.547599293291569,0.93376042956160743
primary_assignment,Cerrado,nat_tmp_pas_consecutive2_share_endpoint,trajectory_share,1990,1995,0,10676,5059,5617,4022,1325.6967764446199,0.26204719834841272,0.095824065675991263,0.90755995772970011,
primary_assignment,Cerrado,net_cr_balance_ha,signed_area,1990,1995,0,10676,10676,0,10055,-7341401.9369085655,-687.65473369319648,-423.07810864283465,39.04408039110254,0.48251134243286603
primary_assignment,Cerrado,cr_balance_index,bounded_index,1990,1995,0,10676,10055,621,10055,-7226.2181061508309,-0.71866913039789471,-0.99732231200244947,0.22936523004817153,
primary_assignment,Cerrado,consolidation_ha,absolute_area,1995,2000,0,10676,10676,0,6185,1670744.6346577411,156.49537604512375,2.9146816767752171,509.74392293202231,0.92329281321764756
primary_assignment,Cerrado,consolidation_rate_initial_pasture,relative_intensity,1995,2000,0,10676,10092,584,6185,456.95803586911632,0.045279234628330986,0.0011324404389362244,0.13835925520912656,
primary_assignment,Cerrado,replenishment_ha,absolute_area,1995,2000,0,10676,10676,0,10151,6691168.2141054319,626.74861503422926,414.01221474176828,1549.6330598240972,0.42764563135863964
primary_assignment,Cerrado,replenishment_rate_initial_native,relative_intensity,1995,2000,0,10676,10672,4,10151,669.43783944263828,0.062728433231131767,0.045096796480042473,0.15080153643461652,
primary_assignment,Cerrado,nat_tmp_endpoint_ha,absolute_area,1995,2000,0,10676,10676,0,5440,924387.20291791297,86.585537927867463,0.08660673722624776,115.99756027585735,0.75477887965938584
primary_assignment,Cerrado,nat_tmp_intensity_initial_native,relative_intensity,1995,2000,0,10676,10672,4,5440,88.352096695801464,0.0082788696304161788,1.1953611150289078e-05,0.015016763221987564,
primary_assignment,Cerrado,nat_tmp_pas_any_ha,trajectory_area,1995,2000,0,10676,10676,0,4074,62503.717237064302,5.8546007153488482,0,9.7831081808051632,0.79039438621064417
primary_assignment,Cerrado,nat_tmp_pas_any_share_endpoint,trajectory_share,1995,2000,0,10676,5440,5236,4074,1380.9382691746644,0.25384894653946039,0.08452609759453153,0.92307737115639721,
primary_assignment,Cerrado,nat_tmp_pas_consecutive2_ha,trajectory_area,1995,2000,0,10676,10676,0,3898,59609.227591513612,5.5834795421050591,0,9.115446635773953,0.79155124884680683
primary_assignment,Cerrado,nat_tmp_pas_consecutive2_share_endpoint,trajectory_share,1995,2000,0,10676,5440,5236,3898,1278.0289005154978,0.2349317831829959,0.064168039502524976,0.86944157123868338,
primary_assignment,Cerrado,net_cr_balance_ha,signed_area,1995,2000,0,10676,10676,0,10181,-5020423.5794476913,-470.25323898910557,-310.16484654690419,181.67381871084081,0.36282666547321313
primary_assignment,Cerrado,cr_balance_index,bounded_index,1995,2000,0,10676,10181,495,10181,-6562.0833998319667,-0.64454212747588324,-0.98674282933184521,0.47565497442829008,
primary_assignment,Cerrado,consolidation_ha,absolute_area,2000,2005,0,10676,10676,0,6623,2840958.2264346201,266.10699011189774,5.8689637705683708,910.65611037563758,0.81071082160582486
primary_assignment,Cerrado,consolidation_rate_initial_pasture,relative_intensity,2000,2005,0,10676,10209,467,6623,697.37790967899673,0.068310109675678007,0.0021617465309477996,0.2272065079785964,
primary_assignment,Cerrado,replenishment_ha,absolute_area,2000,2005,0,10676,10676,0,10276,6343032.4559588181,594.1394207529803,384.59522706950997,1473.0911265019545,0.37475509648306649
primary_assignment,Cerrado,replenishment_rate_initial_native,relative_intensity,2000,2005,0,10676,10673,3,10276,634.09456729043643,0.059411090348583946,0.04132549255351415,0.14282990885424562,
primary_assignment,Cerrado,nat_tmp_endpoint_ha,absolute_area,2000,2005,0,10676,10676,0,5973,1403791.3093226601,131.49038116547959,0.94948395757990722,256.22724972539675,0.61173061530023254
primary_assignment,Cerrado,nat_tmp_intensity_initial_native,relative_intensity,2000,2005,0,10676,10673,3,5973,129.7836854688903,0.012160000512404226,8.9378282377813918e-05,0.027486909291555343,
primary_assignment,Cerrado,nat_tmp_pas_any_ha,trajectory_area,2000,2005,0,10676,10676,0,4436,107494.81577011925,10.068828753289552,0,18.482056576933928,0.6801762469697481
primary_assignment,Cerrado,nat_tmp_pas_any_share_endpoint,trajectory_share,2000,2005,0,10676,5973,4703,4436,1269.1573346536984,0.21248239321173587,0.065788549099885615,0.75000064751088247,
primary_assignment,Cerrado,nat_tmp_pas_consecutive2_ha,trajectory_area,2000,2005,0,10676,10676,0,4196,102213.33437429817,9.5741227401927844,0,17.079935340086621,0.68059051209799426
