boundary_scope,primary_biome,metric,t0,t1,diagnostic_interval,supported_cells,excluded_biome_cells,components,islands,undirected_edges,s0,mean_neighbor_count,moran_i,expected_i,seed,permutations,status,p_two_sided,permutation_mean,permutation_sd,permutation_q025,permutation_q975,family,q_by,significant_by_005,combined_domain_moran_i,biome_minus_combined_moran_i
primary_assignment,Cerrado,replenishment_ha,1990,1995,0,10676,0,2,1,30737,10674.999999999998,5.7581491195204197,0.67499909991444151,-9.3676814988290398e-05,1718488597,9999,tested,0.0001,-9.3249045026345717e-05,0.0057058297642722036,-0.011042667959300038,0.011297051931784274,primary_assignment__Cerrado__primary,0.00041467814190168612,True,0.73398923837299535,-0.058990138458553831
primary_assignment,Cerrado,replenishment_ha,1995,2000,0,10676,0,2,1,30737,10674.999999999998,5.7581491195204197,0.62672581653759929,-9.3676814988290398e-05,3230309914,9999,tested,0.0001,-4.7744974231530486e-05,0.0057702825634891926,-0.011215220507006945,0.011311595771399792,primary_assignment__Cerrado__primary,0.00041467814190168612,True,0.69995539590919065,-0.073229579371591358
primary_assignment,Cerrado,replenishment_ha,2000,2005,0,10676,0,2,1,30737,10674.999999999998,5.7581491195204197,0.62999998418275438,-9.3676814988290398e-05,595847576,9999,tested,0.0001,-0.00013667620758321002,0.0056948207383223206,-0.011101684017215917,0.011072191880099828,primary_assignment__Cerrado__primary,0.00041467814190168612,True,0.68886855048481987,-0.058868566302065495
primary_assignment,Cerrado,replenishment_ha,2005,2010,0,10676,0,2,1,30737,10674.999999999998,5.7581491195204197,0.63327508754580619,-9.3676814988290398e-05,3695421170,9999,tested,0.0001,-9.5862544805639592e-05,0.0057724647673638493,-0.011279179057713031,0.011120599287137864,primary_assignment__Cerrado__primary,0.00041467814190168612,True,0.68112164434641165,-0.047846556800605455
primary_assignment,Cerrado,replenishment_ha,2010,2015,0,10676,0,2,1,30737,10674.999999999998,5.7581491195204197,0.68313276012944402,-9.3676814988290398e-05,1672774392,9999,tested,0.0001,-0.00018297667796628563,0.0056984548206698927,-0.011279849286611434,0.01083959149787235,primary_assignment__Cerrado__primary,0.00041467814190168612,True,0.65928574016651964,0.023847019962924376
primary_assignment,Cerrado,replenishment_ha,2015,2020,0,10676,0,2,1,30737,10674.999999999998,5.7581491195204197,0.64393505011795771,-9.3676814988290398e-05,132787981,9999,tested,0.0001,5.3555949181745902e-07,0.0057387890802067182,-0.011188300899735682,0.011343469409090956,primary_assignment__Cerrado__primary,0.00041467814190168612,True,0.61373079176485701,0.030204258353100699
primary_assignment,Cerrado,replenishment_ha,2020,2025,1,10676,0,2,1,30737,10674.999999999998,5.7581491195204197,0.62332478988318174,-9.3676814988290398e-05,1392348975,9999,tested,0.0001,-0.00014836302236708349,0.0057910689693299088,-0.01135994100466094,0.011318209782064451,primary_assignment__Cerrado__diagnostic,0.00022833333333333334,True,0.58887918104450543,0.034445608838676312
primary_assignment,Cerrado,nat_tmp_endpoint_ha,1985,1990,0,10676,0,2,1,30737,10674.999999999998,5.7581491195204197,0.54645992837544688,-9.3676814988290398e-05,4227101440,9999,tested,0.0001,1.3818856521707664e-05,0.0057760092050637129,-0.010331465814639933,0.012310102915208296,primary_assignment__Cerrado__primary,0.00041467814190168612,True,0.55000710243244233,-0.0035471740569954502
primary_assignment,Cerrado,nat_tmp_endpoint_ha,1990,1995,0,10676,0,2,1,30737,10674.999999999998,5.7581491195204197,0.59154714958064292,-9.3676814988290398e-05,2340606245,9999,tested,0.0001,-4.0981287859358257e-05,0.0058158141275758994,-0.010668931885029173,0.012062091925906692,primary_assignment__Cerrado__primary,0.00041467814190168612,True,0.59185012235722001,-0.00030297277657709287
primary_assignment,Cerrado,nat_tmp_endpoint_ha,1995,2000,0,10676,0,2,1,30737,10674.999999999998,5.7581491195204197,0.49140461259385909,-9.3676814988290398e-05,627974111,9999,tested,0.0001,-0.0001108904228617728,0.0056493040636178089,-0.0098037156422740336,0.01243172723392064,primary_assignment__Cerrado__primary,0.00041467814190168612,True,0.54557898947017591,-0.054174376876316821
primary_assignment,Cerrado,nat_tmp_endpoint_ha,2000,2005,0,10676,0,2,1,30737,10674.999999999998,5.7581491195204197,0.48171398069563226,-9.3676814988290398e-05,2783390588,9999,tested,0.0001,-0.00019852121282790811,0.0057410653002016657,-0.010452967097772299,0.012111757206069135,primary_assignment__Cerrado__primary,0.00041467814190168612,True,0.57681959445171516,-0.095105613756082896
primary_assignment,Cerrado,nat_tmp_endpoint_ha,2005,2010,0,10676,0,2,1,30737,10674.999999999998,5.7581491195204197,0.39530772731130859,-9.3676814988290398e-05,636354117,9999,tested,0.0001,-0.00013773956771131741,0.005688809854505544,-0.0089043175856543377,0.013218073641160157,primary_assignment__Cerrado__primary,0.00041467814190168612,True,0.40511308122493872,-0.0098053539136301326
primary_assignment,Cerrado,nat_tmp_endpoint_ha,2010,2015,0,10676,0,2,1,30737,10674.999999999998,5.7581491195204197,0.46394624537837181,-9.3676814988290398e-05,1866977383,9999,tested,0.0001,-0.00011035719755810834,0.0056998880981493655,-0.0099001079060092954,0.01245763689513934,primary_assignment__Cerrado__primary,0.00041467814190168612,True,0.47071233366077031,-0.0067660882823984969
primary_assignment,Cerrado,nat_tmp_endpoint_ha,2015,2020,0,10676,0,2,1,30737,10674.999999999998,5.7581491195204197,0.32577561198380944,-9.3676814988290398e-05,752181690,9999,tested,0.0001,-7.3362988330469921e-05,0.0056809166609783556,-0.010341205078541318,0.012021772025649902,primary_assignment__Cerrado__primary,0.00041467814190168612,True,0.36101031004560141,-0.035234698061791969
primary_assignment,Cerrado,nat_tmp_endpoint_ha,2020,2025,1,10676,0,2,1,30737,10674.999999999998,5.7581491195204197,0.40427782930988188,-9.3676814988290398e-05,449877439,9999,tested,0.0001,-5.7682269455317291e-06,0.0057217994007339873,-0.008767628970517187,0.013524320407093967,primary_assignment__Cerrado__diagnostic,0.00022833333333333334,True,0.42168586368133198,-0.01740803437145011
primary_assignment,Cerrado,net_cr_balance_ha,1985,1990,0,10676,0,2,1,30737,10674.999999999998,5.7581491195204197,0.73668001289730078,-9.3676814988290398e-05,166949065,9999,tested,0.0001,-9.1798738583088533e-05,0.0056942213638581972,-0.010880844793290732,0.011107650120088935,primary_assignment__Cerrado__primary,0.00041467814190168612,True,0.76026158674484057,-0.023581573847539783
primary_assignment,Cerrado,net_cr_balance_ha,1990,1995,0,10676,0,2,1,30737,10674.999999999998,5.7581491195204197,0.6886986544043483,-9.3676814988290398e-05,3341465210,9999,tested,0.0001,-0.00016109987814553258,0.0057985619764452656,-0.011386083211816689,0.011008401770155916,primary_assignment__Cerrado__primary,0.00041467814190168612,True,0.73110887755743281,-0.042410223153084514
primary_assignment,Cerrado,net_cr_balance_ha,1995,2000,0,10676,0,2,1,30737,10674.999999999998,5.7581491195204197,0.63873165842073965,-9.3676814988290398e-05,892247587,9999,tested,0.0001,-4.0330369210889389e-05,0.0057273316469520254,-0.011170575743694107,0.011218503993367728,primary_assignment__Cerrado__primary,0.00041467814190168612,True,0.69855598507059335,-0.05982432664985371
primary_assignment,Cerrado,net_cr_balance_ha,2000,2005,0,10676,0,2,1,30737,10674.999999999998,5.7581491195204197,0.66422087459434354,-9.3676814988290398e-05,1609153685,9999,tested,0.0001,-6.7998180743258707e-05,0.0057890206303252674,-0.011284108685671836,0.011249916909971163,primary_assignment__Cerrado__primary,0.00041467814190168612,True,0.68779287794243538,-0.023572003348091841
primary_assignment,Cerrado,net_cr_balance_ha,2005,2010,0,10676,0,2,1,30737,10674.999999999998,5.7581491195204197,0.66477655255467072,-9.3676814988290398e-05,2866763525,9999,tested,0.0001,-8.3998674926789215e-06,0.0057603022406290888,-0.011142475720400892,0.01142298532544146,primary_assignment__Cerrado__primary,0.00041467814190168612,True,0.68230887868570567,-0.017532326131034948
primary_assignment,Cerrado,net_cr_balance_ha,2010,2015,0,10676,0,2,1,30737,10674.999999999998,5.7581491195204197,0.65785064901468659,-9.3676814988290398e-05,534746879,9999,tested,0.0001,-0.00012388163546818467,0.0057662670893097248,-0.011294041567982901,0.011357666381682721,primary_assignment__Cerrado__primary,0.00041467814190168612,True,0.64827359221623304,0.0095770567984535537
primary_assignment,Cerrado,net_cr_balance_ha,2015,2020,0,10676,0,2,1,30737,10674.999999999998,5.7581491195204197,0.60899821341102833,-9.3676814988290398e-05,501029697,9999,tested,0.0001,-9.9835921810563871e-05,0.0057330898286357289,-0.011479796876334117,0.011126367251885431,primary_assignment__Cerrado__primary,0.00041467814190168612,True,0.59737541863297616,0.01162279477805217
