boundary_scope,primary_biome,metric,t0,t1,diagnostic_interval,stage,cells,biome_cells,cell_fraction
primary_assignment,Amazon,replenishment_rate_initial_native,1985,1990,0,zero,6442,14213,0.45324702736930977
primary_assignment,Amazon,replenishment_rate_initial_native,1990,1995,0,positive_high,1229,14213,0.086470132976852174
primary_assignment,Amazon,replenishment_rate_initial_native,1990,1995,0,positive_low,5051,14213,0.35537887849152183
primary_assignment,Amazon,replenishment_rate_initial_native,1990,1995,0,positive_moderate,2376,14213,0.16717089988039119
primary_assignment,Amazon,replenishment_rate_initial_native,1990,1995,0,undefined,1,14213,7.0358122845282483e-05
primary_assignment,Amazon,replenishment_rate_initial_native,1990,1995,0,zero,5556,14213,0.39090973052838951
primary_assignment,Amazon,replenishment_rate_initial_native,1995,2000,0,positive_high,1601,14213,0.11264335467529726
primary_assignment,Amazon,replenishment_rate_initial_native,1995,2000,0,positive_low,4842,14213,0.34067403081685782
primary_assignment,Amazon,replenishment_rate_initial_native,1995,2000,0,positive_moderate,2827,14213,0.1989024132836136
primary_assignment,Amazon,replenishment_rate_initial_native,1995,2000,0,zero,4943,14213,0.34778020122423131
primary_assignment,Amazon,replenishment_rate_initial_native,2000,2005,0,positive_high,2066,14213,0.14535988179835363
primary_assignment,Amazon,replenishment_rate_initial_native,2000,2005,0,positive_low,4753,14213,0.33441215788362766
primary_assignment,Amazon,replenishment_rate_initial_native,2000,2005,0,positive_moderate,3266,14213,0.22978962921269261
primary_assignment,Amazon,replenishment_rate_initial_native,2000,2005,0,zero,4128,14213,0.29043833110532613
primary_assignment,Amazon,replenishment_rate_initial_native,2005,2010,0,positive_high,929,14213,0.065362696123267436
primary_assignment,Amazon,replenishment_rate_initial_native,2005,2010,0,positive_low,5891,14213,0.41447970168155912
primary_assignment,Amazon,replenishment_rate_initial_native,2005,2010,0,positive_moderate,3470,14213,0.24414268627313024
primary_assignment,Amazon,replenishment_rate_initial_native,2005,2010,0,zero,3923,14213,0.27601491592204319
primary_assignment,Amazon,replenishment_rate_initial_native,2010,2015,0,positive_high,561,14213,0.039470906916203474
primary_assignment,Amazon,replenishment_rate_initial_native,2010,2015,0,positive_low,6585,14213,0.46330823893618517
primary_assignment,Amazon,replenishment_rate_initial_native,2010,2015,0,positive_moderate,3278,14213,0.23063392668683599
primary_assignment,Amazon,replenishment_rate_initial_native,2010,2015,0,undefined,1,14213,7.0358122845282483e-05
primary_assignment,Amazon,replenishment_rate_initial_native,2010,2015,0,zero,3788,14213,0.26651656933793005
primary_assignment,Amazon,replenishment_rate_initial_native,2015,2020,0,positive_high,745,14213,0.052416801519735455
primary_assignment,Amazon,replenishment_rate_initial_native,2015,2020,0,positive_low,6304,14213,0.44353760641666079
primary_assignment,Amazon,replenishment_rate_initial_native,2015,2020,0,positive_moderate,3661,14213,0.25758108773657917
primary_assignment,Amazon,replenishment_rate_initial_native,2015,2020,0,undefined,1,14213,7.0358122845282483e-05
primary_assignment,Amazon,replenishment_rate_initial_native,2015,2020,0,zero,3502,14213,0.24639414620417927
primary_assignment,Amazon,replenishment_rate_initial_native,2020,2025,1,positive_high,654,14213,0.04601421234081475
primary_assignment,Amazon,replenishment_rate_initial_native,2020,2025,1,positive_low,6823,14213,0.48005347217336242
primary_assignment,Amazon,replenishment_rate_initial_native,2020,2025,1,positive_moderate,3997,14213,0.28122141701259412
primary_assignment,Amazon,replenishment_rate_initial_native,2020,2025,1,undefined,1,14213,7.0358122845282483e-05
primary_assignment,Amazon,replenishment_rate_initial_native,2020,2025,1,zero,2738,14213,0.19264054035038344
primary_assignment,Amazon,nat_tmp_endpoint_ha,1985,1990,0,positive_high,52,14213,0.0036586223879546895
primary_assignment,Amazon,nat_tmp_endpoint_ha,1985,1990,0,positive_low,505,14213,0.035530852036867656
primary_assignment,Amazon,nat_tmp_endpoint_ha,1985,1990,0,positive_moderate,330,14213,0.023218180538943221
primary_assignment,Amazon,nat_tmp_endpoint_ha,1985,1990,0,zero,13326,14213,0.93759234503623445
primary_assignment,Amazon,nat_tmp_endpoint_ha,1990,1995,0,positive_high,84,14213,0.0059100823190037293
primary_assignment,Amazon,nat_tmp_endpoint_ha,1990,1995,0,positive_low,571,14213,0.040174488144656302
primary_assignment,Amazon,nat_tmp_endpoint_ha,1990,1995,0,positive_moderate,456,14213,0.032083304017448813
primary_assignment,Amazon,nat_tmp_endpoint_ha,1990,1995,0,zero,13102,14213,0.92183212551889115
primary_assignment,Amazon,nat_tmp_endpoint_ha,1995,2000,0,positive_high,171,14213,0.012031239006543305
primary_assignment,Amazon,nat_tmp_endpoint_ha,1995,2000,0,positive_low,838,14213,0.058960106944346724
primary_assignment,Amazon,nat_tmp_endpoint_ha,1995,2000,0,positive_moderate,539,14213,0.037923028213607261
primary_assignment,Amazon,nat_tmp_endpoint_ha,1995,2000,0,zero,12665,14213,0.89108562583550266
primary_assignment,Amazon,nat_tmp_endpoint_ha,2000,2005,0,positive_high,450,14213,0.031661155280377121
primary_assignment,Amazon,nat_tmp_endpoint_ha,2000,2005,0,positive_low,1125,14213,0.079152888200942795
primary_assignment,Amazon,nat_tmp_endpoint_ha,2000,2005,0,positive_moderate,720,14213,0.050657848448603389
primary_assignment,Amazon,nat_tmp_endpoint_ha,2000,2005,0,zero,11918,14213,0.83852810807007672
primary_assignment,Amazon,nat_tmp_endpoint_ha,2005,2010,0,positive_high,109,14213,0.0076690353901357911
primary_assignment,Amazon,nat_tmp_endpoint_ha,2005,2010,0,positive_low,1391,14213,0.097868148877787942
primary_assignment,Amazon,nat_tmp_endpoint_ha,2005,2010,0,positive_moderate,803,14213,0.056497572644761837
primary_assignment,Amazon,nat_tmp_endpoint_ha,2005,2010,0,zero,11910,14213,0.83796524308731446
primary_assignment,Amazon,nat_tmp_endpoint_ha,2010,2015,0,positive_high,175,14213,0.012312671497924435
primary_assignment,Amazon,nat_tmp_endpoint_ha,2010,2015,0,positive_low,1693,14213,0.11911630197706326
primary_assignment,Amazon,nat_tmp_endpoint_ha,2010,2015,0,positive_moderate,1196,14213,0.084148314922957851
primary_assignment,Amazon,nat_tmp_endpoint_ha,2010,2015,0,zero,11149,14213,0.78442271160205446
primary_assignment,Amazon,nat_tmp_endpoint_ha,2015,2020,0,positive_high,169,14213,0.011890522760852741
primary_assignment,Amazon,nat_tmp_endpoint_ha,2015,2020,0,positive_low,1958,14213,0.13776120453106311
primary_assignment,Amazon,nat_tmp_endpoint_ha,2015,2020,0,positive_moderate,1240,14213,0.087244072328150291
primary_assignment,Amazon,nat_tmp_endpoint_ha,2015,2020,0,zero,10846,14213,0.76310420037993387
primary_assignment,Amazon,nat_tmp_endpoint_ha,2020,2025,1,positive_high,114,14213,0.0080208260043622033
primary_assignment,Amazon,nat_tmp_endpoint_ha,2020,2025,1,positive_low,1945,14213,0.13684654893407444
primary_assignment,Amazon,nat_tmp_endpoint_ha,2020,2025,1,positive_moderate,1353,14213,0.095194540209667208
primary_assignment,Amazon,nat_tmp_endpoint_ha,2020,2025,1,zero,10801,14213,0.75993808485189618
primary_assignment,Amazon,nat_tmp_intensity_initial_native,1985,1990,0,positive_high,35,14213,0.002462534299584887
primary_assignment,Amazon,nat_tmp_intensity_initial_native,1985,1990,0,positive_low,620,14213,0.043622036164075145
primary_assignment,Amazon,nat_tmp_intensity_initial_native,1985,1990,0,positive_moderate,232,14213,0.016323084500105538
primary_assignment,Amazon,nat_tmp_intensity_initial_native,1985,1990,0,undefined,1,14213,7.0358122845282483e-05
primary_assignment,Amazon,nat_tmp_intensity_initial_native,1985,1990,0,zero,13325,14213,0.93752198691338917
primary_assignment,Amazon,nat_tmp_intensity_initial_native,1990,1995,0,positive_high,66,14213,0.0046436361077886439
primary_assignment,Amazon,nat_tmp_intensity_initial_native,1990,1995,0,positive_low,715,14213,0.050306057834376978
primary_assignment,Amazon,nat_tmp_intensity_initial_native,1990,1995,0,positive_moderate,330,14213,0.023218180538943221
primary_assignment,Amazon,nat_tmp_intensity_initial_native,1990,1995,0,undefined,1,14213,7.0358122845282483e-05
primary_assignment,Amazon,nat_tmp_intensity_initial_native,1990,1995,0,zero,13101,14213,0.92176176739604587
primary_assignment,Amazon,nat_tmp_intensity_initial_native,1995,2000,0,positive_high,137,14213,0.0096390628298037
primary_assignment,Amazon,nat_tmp_intensity_initial_native,1995,2000,0,positive_low,961,14213,0.067614156054316477
primary_assignment,Amazon,nat_tmp_intensity_initial_native,1995,2000,0,positive_moderate,450,14213,0.031661155280377121
primary_assignment,Amazon,nat_tmp_intensity_initial_native,1995,2000,0,zero,12665,14213,0.89108562583550266
primary_assignment,Amazon,nat_tmp_intensity_initial_native,2000,2005,0,positive_high,397,14213,0.027932174769577149
primary_assignment,Amazon,nat_tmp_intensity_initial_native,2000,2005,0,positive_low,1258,14213,0.088510518539365368
primary_assignment,Amazon,nat_tmp_intensity_initial_native,2000,2005,0,positive_moderate,640,14213,0.045029198620980794
primary_assignment,Amazon,nat_tmp_intensity_initial_native,2000,2005,0,zero,11918,14213,0.83852810807007672
primary_assignment,Amazon,nat_tmp_intensity_initial_native,2005,2010,0,positive_high,110,14213,0.0077393935129810741
primary_assignment,Amazon,nat_tmp_intensity_initial_native,2005,2010,0,positive_low,1500,14213,0.10553718426792373
primary_assignment,Amazon,nat_tmp_intensity_initial_native,2005,2010,0,positive_moderate,693,14213,0.048758179131780766
primary_assignment,Amazon,nat_tmp_intensity_initial_native,2005,2010,0,zero,11910,14213,0.83796524308731446
