boundary_scope,primary_biome,metric,analysis_window,from_t0,from_t1,to_t0,to_t1,contains_diagnostic_interval,from_stage,to_stage,cells,source_cells,source_transition_fraction
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,1990,1995,1995,2000,0,positive_moderate,zero,89,456,0.19517543859649122
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,1990,1995,1995,2000,0,zero,positive_high,13,13102,0.00099221492901847039
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,1990,1995,1995,2000,0,zero,positive_low,512,13102,0.039078003358265917
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,1990,1995,1995,2000,0,zero,positive_moderate,216,13102,0.016486032666768433
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,1990,1995,1995,2000,0,zero,zero,12361,13102,0.94344374904594719
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,1995,2000,2000,2005,0,positive_high,positive_high,148,171,0.86549707602339176
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,1995,2000,2000,2005,0,positive_high,positive_low,2,171,0.011695906432748537
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,1995,2000,2000,2005,0,positive_high,positive_moderate,21,171,0.12280701754385964
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,1995,2000,2000,2005,0,positive_low,positive_high,79,838,0.094272076372315036
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,1995,2000,2000,2005,0,positive_low,positive_low,287,838,0.34248210023866349
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,1995,2000,2000,2005,0,positive_low,positive_moderate,210,838,0.25059665871121717
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,1995,2000,2000,2005,0,positive_low,zero,262,838,0.31264916467780429
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,1995,2000,2000,2005,0,positive_moderate,positive_high,158,539,0.29313543599257885
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,1995,2000,2000,2005,0,positive_moderate,positive_low,114,539,0.21150278293135436
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,1995,2000,2000,2005,0,positive_moderate,positive_moderate,209,539,0.38775510204081631
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,1995,2000,2000,2005,0,positive_moderate,zero,58,539,0.10760667903525047
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,1995,2000,2000,2005,0,zero,positive_high,65,12665,0.0051322542439794713
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,1995,2000,2000,2005,0,zero,positive_low,722,12665,0.057007500986971972
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,1995,2000,2000,2005,0,zero,positive_moderate,280,12665,0.022108172127911566
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,1995,2000,2000,2005,0,zero,zero,11598,12665,0.915752072641137
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,2000,2005,2005,2010,0,positive_high,positive_high,87,450,0.19333333333333333
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,2000,2005,2005,2010,0,positive_high,positive_low,57,450,0.12666666666666668
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,2000,2005,2005,2010,0,positive_high,positive_moderate,303,450,0.67333333333333334
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,2000,2005,2005,2010,0,positive_high,zero,3,450,0.0066666666666666671
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,2000,2005,2005,2010,0,positive_low,positive_high,4,1125,0.0035555555555555557
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,2000,2005,2005,2010,0,positive_low,positive_low,449,1125,0.39911111111111114
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,2000,2005,2005,2010,0,positive_low,positive_moderate,122,1125,0.10844444444444444
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,2000,2005,2005,2010,0,positive_low,zero,550,1125,0.48888888888888887
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,2000,2005,2005,2010,0,positive_moderate,positive_high,17,720,0.02361111111111111
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,2000,2005,2005,2010,0,positive_moderate,positive_low,299,720,0.4152777777777778
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,2000,2005,2005,2010,0,positive_moderate,positive_moderate,273,720,0.37916666666666665
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,2000,2005,2005,2010,0,positive_moderate,zero,131,720,0.18194444444444444
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,2000,2005,2005,2010,0,zero,positive_high,1,11918,8.39066957543212e-05
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,2000,2005,2005,2010,0,zero,positive_low,586,11918,0.049169323712032219
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,2000,2005,2005,2010,0,zero,positive_moderate,105,11918,0.0088102030542037257
