grid_code,support_scope,t0,t1,interval,diagnostic_interval,metric,selected_cells,defined_cells,selected_support_ha,defined_support_ha,defined_support_fraction,weighted_mean,weighted_std,q00,q10,q25,q50,q75,q90,q99,q100
hex40k_base,primary_ge_50pct,2000,2005,2000_2005,0,replenishment_density_per_10kha,12445,12445,472310627.0033617,472310627.0033617,1.0,357.0073919805758,478.8022763319813,0.0,0.0,14.650234801969226,169.09458244276007,520.182835581661,976.9623634391052,2163.7634941666975,4429.199520143237
hex40k_base,primary_ge_50pct,2000,2005,2000_2005,0,nat_tmp_density_per_10kha,12445,12445,472310627.0033617,472310627.0033617,1.0,48.56269169698475,209.23023643095564,0.0,0.0,0.0,0.0,4.075510562304752,65.45472600860575,1099.107878431705,4269.090660746262
hex40k_base,primary_ge_50pct,2000,2005,2000_2005,0,net_cr_balance_density_per_10kha,12445,12445,472310627.0033617,472310627.0033617,1.0,-283.4713744868635,538.2953718602682,-4429.199520143237,-957.1187080529846,-480.77529269016713,-105.86723846037135,-0.7134639560560805,29.142153723292296,976.3974803071902,2448.092868526288
hex40k_base,primary_ge_50pct,2000,2005,2000_2005,0,cr_balance_index,12445,10803,472310627.0033617,420083155.9142727,0.8894213509010941,-0.7285032709312798,0.5399690714131529,-1.0,-1.0,-1.0,-1.0,-0.8251949962009915,0.25283241228458453,0.9560087452169849,1.0
hex40k_base,primary_ge_50pct,2000,2005,2000_2005,0,consolidation_rate_initial_pasture,12445,10473,472310627.0033617,408001129.2583457,0.8638406716506969,0.04634170545995626,0.12457907649560453,0.0,0.0,0.0,4.7513674845738634e-05,0.015443227958258672,0.1501001099699471,0.6672614275394426,1.0
hex40k_base,primary_ge_50pct,2000,2005,2000_2005,0,replenishment_rate_initial_native,12445,12442,472310627.0033617,472247932.4393602,0.9998672598912304,0.06284817703579292,0.08226130293815397,0.0,0.0,0.0019514440624388747,0.030366393259192638,0.09381041481877997,0.17252703793214702,0.3646220833994228,0.603282315258074
hex40k_base,primary_ge_50pct,2000,2005,2000_2005,0,nat_tmp_intensity_initial_native,12445,12442,472310627.0033617,472247932.4393602,0.9998672598912304,0.007950082014722654,0.03156191996945363,0.0,0.0,0.0,0.0,0.0008573102312169391,0.013438711649680106,0.17342500523205362,0.48289268242946826
hex40k_base,sensitivity_ge_25pct,2000,2005,2000_2005,0,consolidation_density_per_10kha,13759,13759,491732455.5530802,491732455.5530802,1.0,71.08081044784926,211.761957538624,0.0,0.0,0.0,0.0,12.643845218922635,218.97535549650834,1097.047284985153,2693.7755383731505
hex40k_base,sensitivity_ge_25pct,2000,2005,2000_2005,0,replenishment_density_per_10kha,13759,13759,491732455.5530802,491732455.5530802,1.0,343.9398855244786,474.32584550263033,0.0,0.0,8.706049564002209,152.67296854638556,505.17195596365974,954.6663835451529,2138.0994370549474,4429.199520143237
hex40k_base,sensitivity_ge_25pct,2000,2005,2000_2005,0,nat_tmp_density_per_10kha,13759,13759,491732455.5530802,491732455.5530802,1.0,46.66443999886233,205.27480919479322,0.0,0.0,0.0,0.0,3.46744989403046,57.66662402907991,1085.4882791465914,4269.090660746262
hex40k_base,sensitivity_ge_25pct,2000,2005,2000_2005,0,net_cr_balance_density_per_10kha,13759,13759,491732455.5530802,491732455.5530802,1.0,-272.8590750766293,530.9753938267082,-4429.199520143237,-939.668066999193,-459.6268011466786,-88.94839477090748,-0.1775542219783173,20.088390632719673,963.2482943592363,2448.092868526288
hex40k_base,sensitivity_ge_25pct,2000,2005,2000_2005,0,cr_balance_index,13759,11106,491732455.5530802,424743217.1939304,0.8637689304363628,-0.7287454079500898,0.5406765074484349,-1.0,-1.0,-1.0,-1.0,-0.8280512048184251,0.25513562485604535,0.9575522013356125,1.0
hex40k_base,sensitivity_ge_25pct,2000,2005,2000_2005,0,consolidation_rate_initial_pasture,13759,10766,491732455.5530802,412475982.1968471,0.8388219600695489,0.04599359410576304,0.12407540850772615,0.0,0.0,0.0,3.820019712708003e-05,0.01505529448386696,0.1487886069919221,0.6666668605787198,1.0
hex40k_base,sensitivity_ge_25pct,2000,2005,2000_2005,0,replenishment_rate_initial_native,13759,13741,491732455.5530802,491468894.13741183,0.9994640146024693,0.060595900486042485,0.08151820528698948,0.0,0.0,0.0011500127982956056,0.027177641380912644,0.09005070321161732,0.16979869929370514,0.3621467561824997,0.603282315258074
hex40k_base,sensitivity_ge_25pct,2000,2005,2000_2005,0,nat_tmp_intensity_initial_native,13759,13741,491732455.5530802,491468894.13741183,0.9994640146024693,0.007664802589270626,0.03119014389309091,0.0,0.0,0.0,0.0,0.0007264058079895844,0.012579567805102452,0.17062748794580274,0.7999998481813974
